Airland,N_planes,Solver_status,MIP_obj_value,MIP_execution_time,MIP_memory_usage,CP_obj_value,CP_execution_time,CP_memory_usage,CP_propagations,CP_conflicts
1,10,OPTIMAL,700.0,174,267187,700.0,31.5,207400,803,111
2,15,OPTIMAL,1480.0,449,221191,1480.0,144.07,225201,2467,1362
3,20,OPTIMAL,820.0,338,255705,820.0,35.29,270966,1218,94
4,20,OPTIMAL,2520.0,965,251129,2520.0,305.89,269396,3142,1711
5,20,OPTIMAL,3100.0,5683,250905,3100.0,2331.05,269173,24451,19159
6,30,OPTIMAL,24442.0,185,339590,24442.0,5.78,394142,0,0
7,44,OPTIMAL,1550.0,545,534658,1550.0,139.58,642450,2063,734
8,50,OPTIMAL,1950.0,1809,686949,1950.0,356.56,924329,5179,428
9,100,FEASIBLE,5924.41,122212,2043207,5622.4,60069.63,3131183,106312,72983
10,150,FEASIBLE,13323.62,124158,4492676,13335.83,60091.18,6937838,96761,55974
11,200,FEASIBLE,13378.66,126758,7656575,13123.62,60080.75,12237376,63695,42265
12,250,FEASIBLE,19848.5,129369,11792521,19742.71,60080.96,18989334,51783,25478
13,500,FEASIBLE,67366.37,151097,45565241,64186.56,60101.37,74012450,72579,15131
